shard,id,name,verdict,score,auto_lock,events,coverage_h,span_h,gaps_gt_2h,empty_desc,title_ar_pct,title_latin_pct,desc_ar_pct,feed_country,issues,warnings,preview_1,preview_2
provider-alkass,2023 Alkass 2.qa,2023 Alkass 2.qa,REVIEW,84,0,15,15.23,15.23,0,0,0.0,100.0,100.0,qa,,STALE_YEAR_IN_ID; ARABIC_PROVIDER_TITLE_AR_LOW=0%,Ostudio Al Khayl,King of the Court Beach Volleyball Championship
provider-alkass,2023 Alkass 3.qa,2023 Alkass 3.qa,REVIEW,84,0,15,17.9,18.42,0,0,0.0,100.0,100.0,qa,,STALE_YEAR_IN_ID; ARABIC_PROVIDER_TITLE_AR_LOW=0%,Dawry Nojom Qatar,Akhbar
provider-alkass,2023 Alkass 4.qa,2023 Alkass 4.qa,REVIEW,76,0,10,14.98,14.98,0,0,0.0,100.0,100.0,qa,,LONG_GT_6H=1; STALE_YEAR_IN_ID; ARABIC_PROVIDER_TITLE_AR_LOW=0%,Dawry Al Darajah Al Thanya Al Qatary,FIBA World Basketball
provider-alkass,2023 Alkass 5.qa,2023 Alkass 5.qa,REVIEW,84,0,15,15.23,15.23,0,0,0.0,100.0,100.0,qa,,STALE_YEAR_IN_ID; ARABIC_PROVIDER_TITLE_AR_LOW=0%,HORSE RACE STUDIO,King of the Court Volleyball Championship
provider-alkass,2023 Alkass 6.qa,2023 Alkass 6.qa,REVIEW,92,0,40,42.47,43.5,0,0,100.0,0.0,100.0,qa,,STALE_YEAR_IN_ID,المجلس,الحصيلة
provider-alkass,2023 Alkass 7.qa,2023 Alkass 7.qa,REVIEW,92,0,43,45.22,46.25,0,0,100.0,0.0,100.0,qa,,STALE_YEAR_IN_ID,معرض كتارا الدولي للصيد والصقور سهيل,أخبار
provider-alkass,2023 Alkass 8.qa,2023 Alkass 8.qa,REVIEW,92,0,31,41.47,42.5,0,0,100.0,0.0,100.0,qa,,STALE_YEAR_IN_ID,دوري نجوم قطر,أخبار
provider-alkass,Al Kass One.sa,Al Kass One.sa,REVIEW,92,0,18,19.0,46.5,1,0,100.0,0.0,100.0,sa,,GAPS_GT_2H=1/TOTAL=27.5h,بطولة آسيا للشباب لكرة ...,ثنتين ونص
provider-alkass,AlkassFive.qa@SD,Alkass Five,PASS,100,1,9,10.5,10.5,0,0,100.0,0.0,100.0,qa,,,تواصل,المجلة البحرية
provider-bein,4k_DIGITAL_Mono_AR.bein,4k_DIGITAL_Mono_AR,REVIEW,92,0,17,33.32,33.32,0,0,76.5,100.0,100.0,,,COMPAT_ALIAS_TO=beIN4K.qa@SD,Sunderland v Arsenal - الدوري الإنجليزي الممتاز,Main Race - F1 Spanish Grand Prix - FIA Formula 1 World Championship
provider-bein,beIN Drama.eg,beIN Drama.eg,REVIEW,84,0,11,10.0,10.0,0,11,9.1,100.0,0.0,eg,,EMPTY_DESC=11(100%); PREMIUM_AR_DESC_LOW=0%,El Qatel Allazy Ahabany,Sarmasik Zamani
provider-bein,BEIN MOVIES ACTION.eg,BEIN MOVIES ACTION.eg,REVIEW,84,0,24,46.25,46.25,0,24,0.0,100.0,0.0,eg,,EMPTY_DESC=24(100%); PREMIUM_AR_DESC_LOW=0%,Reawakening,Star Trek
