beIN MAX/XTRA REMOTE SOURCE RETENTION AUDIT
rows=18 KEEP_SOURCE=17 REVIEW=1 REJECT=0
policy=keep MAX/XTRA as sources; generic/off-event rows are warnings, not rejection

NORMAL MAPPING CANDIDATES

EVENT-ONLY / MANUAL MAPPING (SOURCE STILL KEPT)
- [KEEP_SOURCE] openepg-qatar1 | beIN SPORTS MAX 1.qa | events=14 | mapping=event_only_or_manual | LOW_TITLE_DIVERSITY; REPEATED_GENERIC_TITLE; GENERIC_OFF_EVENT_GUIDE
- [KEEP_SOURCE] openepg-qatar1 | beIN SPORTS MAX 2.qa | events=18 | mapping=event_only_or_manual | LOW_TITLE_DIVERSITY; REPEATED_GENERIC_TITLE; GENERIC_OFF_EVENT_GUIDE; CLONED_TIMELINE_GROUP=4
- [KEEP_SOURCE] openepg-qatar1 | beIN SPORTS MAX 3.qa | events=18 | mapping=event_only_or_manual | LOW_TITLE_DIVERSITY; REPEATED_GENERIC_TITLE; GENERIC_OFF_EVENT_GUIDE; CLONED_TIMELINE_GROUP=4
- [KEEP_SOURCE] openepg-qatar1 | beIN SPORTS MAX 4.qa | events=18 | mapping=event_only_or_manual | LOW_TITLE_DIVERSITY; REPEATED_GENERIC_TITLE; GENERIC_OFF_EVENT_GUIDE; CLONED_TIMELINE_GROUP=4
- [KEEP_SOURCE] openepg-qatar1 | beIN SPORTS MAX 5.qa | events=18 | mapping=event_only_or_manual | LOW_TITLE_DIVERSITY; REPEATED_GENERIC_TITLE; GENERIC_OFF_EVENT_GUIDE; CLONED_TIMELINE_GROUP=4
- [KEEP_SOURCE] openepg-qatar1 | beIN SPORTS MAX 6.qa | events=14 | mapping=event_only_or_manual | LOW_TITLE_DIVERSITY; REPEATED_GENERIC_TITLE; GENERIC_OFF_EVENT_GUIDE
- [KEEP_SOURCE] openepg-qatar1 | beIN SPORTS XTRA 1.qa | events=29 | mapping=event_only_or_manual | LOW_TITLE_DIVERSITY; REPEATED_GENERIC_TITLE; GENERIC_OFF_EVENT_GUIDE
- [KEEP_SOURCE] openepg-qatar1 | beIN SPORTS XTRA 2.qa | events=31 | mapping=event_only_or_manual | LOW_TITLE_DIVERSITY; REPEATED_GENERIC_TITLE; GENERIC_OFF_EVENT_GUIDE
- [KEEP_SOURCE] openepg-qatar1 | beIN SPORTS XTRA 3.qa | events=33 | mapping=event_only_or_manual | LOW_TITLE_DIVERSITY; REPEATED_GENERIC_TITLE; GENERIC_OFF_EVENT_GUIDE
- [KEEP_SOURCE] openepg-qatar1 | beIN SPORTS XTRA 4.qa | events=34 | mapping=event_only_or_manual | LOW_TITLE_DIVERSITY; REPEATED_GENERIC_TITLE; GENERIC_OFF_EVENT_GUIDE; CLONED_TIMELINE_GROUP=5
- [KEEP_SOURCE] openepg-qatar1 | beIN SPORTS XTRA 5.qa | events=34 | mapping=event_only_or_manual | LOW_TITLE_DIVERSITY; REPEATED_GENERIC_TITLE; GENERIC_OFF_EVENT_GUIDE; CLONED_TIMELINE_GROUP=5
- [KEEP_SOURCE] openepg-qatar1 | beIN SPORTS XTRA 6.qa | events=34 | mapping=event_only_or_manual | LOW_TITLE_DIVERSITY; REPEATED_GENERIC_TITLE; GENERIC_OFF_EVENT_GUIDE; CLONED_TIMELINE_GROUP=5
- [KEEP_SOURCE] openepg-qatar1 | beIN SPORTS XTRA 7.qa | events=34 | mapping=event_only_or_manual | LOW_TITLE_DIVERSITY; REPEATED_GENERIC_TITLE; GENERIC_OFF_EVENT_GUIDE; CLONED_TIMELINE_GROUP=5
- [KEEP_SOURCE] openepg-qatar1 | beIN SPORTS XTRA 8.qa | events=18 | mapping=event_only_or_manual | LOW_TITLE_DIVERSITY; REPEATED_GENERIC_TITLE; GENERIC_OFF_EVENT_GUIDE
- [KEEP_SOURCE] openepg-qatar1 | beIN SPORTS XTRA 9.qa | events=34 | mapping=event_only_or_manual | LOW_TITLE_DIVERSITY; REPEATED_GENERIC_TITLE; GENERIC_OFF_EVENT_GUIDE; CLONED_TIMELINE_GROUP=5
- [KEEP_SOURCE] openepg-qatar2 | beIN SPORTS XTRA 04 bein.com.qa | events=15 | mapping=event_only_or_manual | LOW_TITLE_DIVERSITY; REPEATED_GENERIC_TITLE; GENERIC_OFF_EVENT_GUIDE
- [KEEP_SOURCE] openepg-qatar2 | beIN SPORTS XTRA 05 bein.com.qa | events=15 | mapping=event_only_or_manual | LOW_TITLE_DIVERSITY; REPEATED_GENERIC_TITLE; GENERIC_OFF_EVENT_GUIDE
- [REVIEW] openepg-qatar2 | beIN SPORTS XTRA 06 bein.com.qa | events=0 | mapping=standby_no_autolock | NO_CURRENT_EVENTS
