CANONICAL ID RESET
files=32 removed=0 catalog_pruned=12
mena-ae.xml.gz: 16 -> 16 channels; removed=0
mena-arabic.xml.gz: 540 -> 540 channels; removed=0
mena-bh.xml.gz: 2 -> 2 channels; removed=0
mena-dz.xml.gz: 2 -> 2 channels; removed=0
mena-eg.xml.gz: 58 -> 58 channels; removed=0
mena-iq.xml.gz: 16 -> 16 channels; removed=0
mena-jo.xml.gz: 9 -> 9 channels; removed=0
mena-kw.xml.gz: 3 -> 3 channels; removed=0
mena-lb.xml.gz: 5 -> 5 channels; removed=0
mena-ly.xml.gz: 0 -> 0 channels; removed=0
mena-mr.xml.gz: 0 -> 0 channels; removed=0
mena-om.xml.gz: 12 -> 12 channels; removed=0
mena-other.xml.gz: 233 -> 233 channels; removed=0
mena-ps.xml.gz: 0 -> 0 channels; removed=0
mena-qa.xml.gz: 14 -> 14 channels; removed=0
mena-sa.xml.gz: 31 -> 31 channels; removed=0
mena-sd.xml.gz: 1 -> 1 channels; removed=0
mena-sy.xml.gz: 1 -> 1 channels; removed=0
mena-tn.xml.gz: 4 -> 4 channels; removed=0
mena-ye.xml.gz: 1 -> 1 channels; removed=0
mena.xml.gz: 491 -> 491 channels; removed=0
premium.xml.gz: 49 -> 49 channels; removed=0
provider-adm.xml.gz: 11 -> 11 channels; removed=0
provider-alkass.xml.gz: 8 -> 8 channels; removed=0
provider-art.xml.gz: 8 -> 8 channels; removed=0
provider-bein.xml.gz: 37 -> 37 channels; removed=0
provider-dmi.xml.gz: 9 -> 9 channels; removed=0
provider-mbc.xml.gz: 17 -> 17 channels; removed=0
provider-osn.xml.gz: 20 -> 20 channels; removed=0
provider-rotana.xml.gz: 11 -> 11 channels; removed=0
provider-ssc.xml.gz: 0 -> 0 channels; removed=0
provider-starz.xml.gz: 5 -> 5 channels; removed=0
