FOREIGN ID CANONICAL REPAIR AUDIT V2
foreign_no_epg=191 safe=6 review=3 unmatched=182

SAFE REPAIRS
- mena-eg | Al.Saeedah.ae -> AlSaeedah.eg@SD | score=0.947 variants=base events=42
- mena-sa | Saudi.Quran.TV.HD.ae -> Saudi Quran.sa | score=1.000 variants=quran events=47
- mena-sa | Saudi.Sunna.TV.HD.ae -> Saudi Sunnah.sa | score=0.957 variants=sunnah events=47
- mena-qa | Al.Jazeera.English.HD.ae -> AlJazeera.English.net | score=0.971 variants=english events=75
- mena-qa | Al.Jazeera.HD.ae -> AlJazeera.qa@Arabic | score=0.947 variants=base events=34
- mena-kw | Al.Rai.TV.ae -> AlraiTV.kw@SD | score=1.000 variants=base events=78

REVIEW / UNMATCHED
- [NO_CANONICAL_MATCH] mena-eg | Aghapy.TV.ae -> Alhayat TV.eg | score=0.615 variants=base/base
- [NO_CANONICAL_MATCH] mena-eg | Al.Ahly.TV.HD.ae -> Al Nahar TV.sa | score=0.667 variants=base/base
- [NO_CANONICAL_MATCH] mena-eg | Al.Askandria.5.ae -> Al Masriya.sa | score=0.667 variants=num:5/base
- [NO_CANONICAL_MATCH] mena-eg | Al.Kahera.3.ae -> Al Kahera Walnas.sa | score=0.741 variants=num:3/base
- [NO_CANONICAL_MATCH] mena-eg | AL.Kahera.Al.Kobra.ae -> Al.Kahera.Wal.Nas.ae | score=0.800 variants=base/base
- [NO_CANONICAL_MATCH] mena-eg | Al.Nada.TV.ae -> Al Nahar TV.sa | score=0.800 variants=base/base
- [NO_CANONICAL_MATCH] mena-eg | Al.Nahar.Noor.ae -> Al Nahar TV.sa | score=0.762 variants=base/base
- [NO_CANONICAL_MATCH] mena-eg | Al.Qahera.News.ae -> Al Kahera Walnas.sa | score=0.733 variants=news/base
- [NO_CANONICAL_MATCH] mena-eg | Al.Wathaeqya.ae -> Al Nahar TV.sa | score=0.600 variants=base/base
- [NO_CANONICAL_MATCH] mena-eg | Alfath.TV.ae -> AlNahar.eg@SD | score=0.615 variants=base/base
- [NO_CANONICAL_MATCH] mena-eg | AlHadath.Alyoum.ae -> Alhayat TV.eg | score=0.545 variants=base/base
- [NO_CANONICAL_MATCH] mena-eg | Aswan.ae -> MasperoZaman.eg@SD | score=0.471 variants=base/base
- [NO_CANONICAL_MATCH] mena-eg | Bakous.Alexandaria.ae -> Al Masriya.sa | score=0.429 variants=base/base
- [NO_CANONICAL_MATCH] mena-eg | El.Moled.ae -> El.Mehwar.HD.ae | score=0.588 variants=base/base
- [NO_CANONICAL_MATCH] mena-eg | Extra.live.ae -> Extra.News.HD.ae | score=0.700 variants=extra/extra/news
- [NO_CANONICAL_MATCH] mena-eg | Huda.TV.ae -> Mehwar.eg | score=0.400 variants=base/base
- [NO_CANONICAL_MATCH] mena-eg | Koogi.TV.ae -> Egyptian TV.eg | score=0.308 variants=base/base
- [NO_CANONICAL_MATCH] mena-eg | Madrasetna.1.ae -> DMCDrama.eg@SD | score=0.500 variants=num:1/base
- [NO_CANONICAL_MATCH] mena-eg | Madrasetna.2.ae -> Al Kahera Walnas 2.sa | score=0.467 variants=num:2/num:2
- [NO_CANONICAL_MATCH] mena-eg | Madrasetna.3.ae -> DMCDrama.eg@SD | score=0.500 variants=num:3/base
- [NO_CANONICAL_MATCH] mena-eg | Matrouh.ae -> AlMasriyah.eg@SD | score=0.471 variants=base/base
- [NO_CANONICAL_MATCH] mena-eg | Mazzika.ae -> Al Masriya.sa | score=0.471 variants=base/base
- [NO_CANONICAL_MATCH] mena-eg | Mekameleen.ae -> MasperoZaman.eg@SD | score=0.455 variants=base/base
- [NO_CANONICAL_MATCH] mena-eg | Misr.Al.Zeraeey.ae -> MixBelAraby.eg@SD | score=0.462 variants=base/base
- [NO_CANONICAL_MATCH] mena-eg | Misr.AlBalad.ae -> SadaElbalad.eg@SD | score=0.696 variants=base/base
- [NO_CANONICAL_MATCH] mena-eg | Misr.Quran.Kareem.ae -> DMC.Drama.ae | score=0.385 variants=quran/drama
- [NO_CANONICAL_MATCH] mena-eg | Nile.Culture.ae -> Nile Life.eg | score=0.667 variants=base/base
- [NO_CANONICAL_MATCH] mena-eg | Nile.News.ae -> Nile.Cinema.ae | score=0.700 variants=news/cinema
- [NO_CANONICAL_MATCH] mena-eg | Nile.Sport.ae -> On.Time.Sports.HD.ae | score=0.750 variants=sport/sport
- [NO_CANONICAL_MATCH] mena-eg | North.Sinai.ae -> OnDrama.eg@SD | score=0.333 variants=base/base
- [NO_CANONICAL_MATCH] mena-eg | South.Sinai.ae -> Al.Oula.ae | score=0.333 variants=base/base
- [NO_CANONICAL_MATCH] mena-eg | The.Kingdom.Sat.ae -> OnDrama.eg@SD | score=0.364 variants=base/base
- [NO_CANONICAL_MATCH] mena-eg | Watan.TV.ae -> TeN.eg@SD | score=0.500 variants=base/base
- [NO_CANONICAL_MATCH] mena-eg | Zamalek.TV.ae -> OnDrama.eg@SD | score=0.429 variants=base/base
- [NO_CANONICAL_MATCH] mena-eg | Zee.Alwan.Egypt.ae -> Alhayat TV.eg | score=0.455 variants=base/base
- [NO_CANONICAL_MATCH] mena-sa | Al.Majd.ae -> AlHadath.sa@SD | score=0.533 variants=base/base
- [NO_CANONICAL_MATCH] mena-sa | Al.Majd.Holy.Quran.ae -> Saudi Quran.sa | score=0.552 variants=quran/quran
- [NO_CANONICAL_MATCH] mena-sa | Al.Sahraa.TV.ae -> Al Resalah.sa | score=0.632 variants=base/base
- [NO_CANONICAL_MATCH] mena-sa | Bin.Othaimeen.ae -> MoviesThriller.sa@SD | score=0.429 variants=base/base
- [REVIEW_CANONICAL_REPAIR] mena-sa | KSA.sports.2.HD.ae -> Saudi Sports 2.sa | score=0.846 variants=num:2/sport/num:2/sport
- [NO_CANONICAL_MATCH] mena-sa | Oyoun.Al.Watan.TV.ae -> Saudi.Al.Ekhbariya.HD.ae | score=0.438 variants=base/base
- [NO_CANONICAL_MATCH] mena-sa | Saudia.Alaan.TV.ae -> Saudi.Al.Ekhbariya.HD.ae | score=0.667 variants=base/base
- [NO_CANONICAL_MATCH] mena-sa | Zad.TV.ae -> Saudi.HD.ae | score=0.500 variants=base/base
- [REVIEW_CANONICAL_REPAIR] mena-qa | Al.Jazeera.Documentary.HD.ae -> Aljazeera-Documentary-1.qa | score=0.933 variants=documentary/documentary/num:1
- [NO_CANONICAL_MATCH] mena-qa | Al.Maaref.TV.ae -> AlArabyTV.qa@SD | score=0.588 variants=base/base
- [NO_CANONICAL_MATCH] mena-qa | Hola.Qatar.ae -> Qatar.TV.HD.ae | score=0.667 variants=base/base
- [NO_CANONICAL_MATCH] mena-qa | Qatar.R.Quran.2.ae -> Qatar.2.HD.ae | score=0.636 variants=num:2/quran/num:2
- [NO_CANONICAL_MATCH] mena-qa | Qatar.R.Quran.ae -> Qatar.2.HD.ae | score=0.600 variants=quran/num:2
- [NO_CANONICAL_MATCH] mena-qa | Sout.Al.Islam.Doha.ae -> AlArabyTV.qa@SD | score=0.385 variants=base/base
- [NO_CANONICAL_MATCH] mena-qa | Sout.Al.Rayyan.ae -> Al.Rayyan.HD.ae | score=0.783 variants=base/base
- [NO_CANONICAL_MATCH] mena-qa | Sout.Alkhaleej.2.ae -> Al.Jazeera.Mobasher.2.HD.ae | score=0.378 variants=num:2/num:2
- [NO_CANONICAL_MATCH] mena-qa | Sout.Alkhaleej.3.ae -> AlJazeera2.qa@HD | score=0.429 variants=num:3/base
- [NO_CANONICAL_MATCH] mena-qa | Sout.Alkhaleej.4.ae -> AlJazeera2.qa@HD | score=0.429 variants=num:4/base
- [NO_CANONICAL_MATCH] mena-qa | Sout.Alkhaleej.Europe.ae -> Al.Jazeera.Mobasher.HD.ae | score=0.400 variants=base/base
- [NO_CANONICAL_MATCH] mena-kw | Al.Anwar.TV.ae -> AlraiTV.kw@SD | score=0.571 variants=base/base
- [NO_CANONICAL_MATCH] mena-kw | Kuwait.Al.Akhbar.ae -> AlraiTV.kw@SD | score=0.364 variants=base/base
- [NO_CANONICAL_MATCH] mena-kw | Kuwait.Classical.ae -> AlraiTV.kw@SD | score=0.261 variants=base/base
- [NO_CANONICAL_MATCH] mena-kw | Kuwait.Easy.ae -> AlraiTV.kw@SD | score=0.333 variants=base/base
- [NO_CANONICAL_MATCH] mena-kw | Kuwait.Holy.Quran.ae -> Kuwait.Sport.HD.ae | score=0.621 variants=quran/sport
- [NO_CANONICAL_MATCH] mena-kw | Kuwait.Shaabyia.ae -> AlraiTV.kw@SD | score=0.273 variants=base/base
- [NO_CANONICAL_MATCH] mena-kw | Kuwait.Super.ae -> AlraiTV.kw@SD | score=0.316 variants=base/base
- [REVIEW_CANONICAL_REPAIR] mena-kw | Kuwait.TV.2.HD.ae -> Kuwait.TV.1.HD.ae | score=0.875 variants=num:2/num:1
- [NO_CANONICAL_MATCH] mena-bh | Bahrain.International.ae -> BahrainTV.bh@SD | score=0.533 variants=international/base
- [NO_CANONICAL_MATCH] mena-bh | LuaLua.TV.HD.ae -> BahrainTV.bh@SD | score=0.308 variants=base/base
- [NO_CANONICAL_MATCH] mena-om | Alistiqama.TV.ae -> Oman Al Thakafeyah.sa | score=0.357 variants=base/base
- [NO_CANONICAL_MATCH] mena-om | Oman.TV.Culture.HD.ae -> OmanTVCultural.om | score=0.769 variants=base/base
- [NO_CANONICAL_MATCH] mena-jo | Azhari.TV.ae -> AmmanTV.jo@SD | score=0.308 variants=base/base
- [NO_CANONICAL_MATCH] mena-jo | Jordan.sama.ae -> Jordan TV.sa | score=0.706 variants=base/base
- [NO_CANONICAL_MATCH] mena-jo | Kaifa.TV.ae -> AmmanTV.jo@SD | score=0.333 variants=base/base
- [NO_CANONICAL_MATCH] mena-jo | Karameesh.ae -> RoyaNews.jo@SD | score=0.353 variants=base/base
- [NO_CANONICAL_MATCH] mena-jo | Quran.Kareem.Jordan.ae -> Jordan TV.sa | score=0.480 variants=quran/base
- [NO_CANONICAL_MATCH] mena-jo | Toyor.Aljanah.TV.ae -> Jordan TV.sa | score=0.421 variants=base/base
- [NO_CANONICAL_MATCH] mena-lb | Al.Iman.TV.ae -> Al Jadeed TV.eg | score=0.500 variants=base/base
- [NO_CANONICAL_MATCH] mena-lb | Al.Ittihad.TV.ae -> Al Jadeed TV.eg | score=0.526 variants=base/base
