xmltv_id,channel_name,source,candidate_count,winner_source,receiver_canonical_id,now_status,now_title,now_desc,epg_snapshot_utc
2MMonde.ma@SD,المغربية الثانية,elcinema.com,1,elcinema.com,2.M.Monde.ma.mena,STALE_RELEASE_MISSING_ID,,,2026-09-19T19:04:23.767797+00:00
AbdulmajeedAbdullah.sa@SD,عبدالمجيد عبدالله,shahid.mbc.net,1,shahid.mbc.net,MBC.Abdulmajeed.Abdullah.mena,STALE_RELEASE_MISSING_ID,,,2026-09-19T19:04:23.767797+00:00
AbuDhabiSports1.ae@SD,AD Sports 1 HD,osn.com,1,osn.com,OSN.AD.Sports.1.ae,STALE_SOURCE_FEED,,,2026-09-19T19:04:23.767797+00:00
AbuDhabiTV.ae@SD,أبو ظبي,elcinema.com,2,osn.com,ADM.Abu.Dhabi.TV.ae,STALE_SOURCE_FEED,,,2026-09-19T19:04:23.767797+00:00
AbuDhabiTV.ae@SD,Abu Dhabi TV HD,osn.com,2,osn.com,ADM.Abu.Dhabi.TV.ae,STALE_SOURCE_FEED,,,2026-09-19T19:04:23.767797+00:00
Aflam.sa@SD,أفلام,shahid.mbc.net,1,shahid.mbc.net,Aflam.sa,STALE_FEED,,,2026-09-19T19:04:23.767797+00:00
AlAoula.ma@MiddleEast,الأولى المغربية,elcinema.com,1,elcinema.com,Channel31a228df.mena,STALE_SOURCE_FEED,,,2026-09-19T19:04:23.767797+00:00
Alarabiya.ae@SD,العربية,shahid.mbc.net,1,shahid.mbc.net,MBC.Alarabiya.mena,STALE_FEED,,,2026-09-19T19:04:23.767797+00:00
AlArabiyaBusiness.ae@SD,العربية Business,shahid.mbc.net,1,shahid.mbc.net,MBC.Business.mena,STALE_RELEASE_MISSING_ID,,,2026-09-19T19:04:23.767797+00:00
AlArabiyaEnglish.sa@SD,AL Arabiya English,shahid.mbc.net,1,shahid.mbc.net,MBC.AL.Arabiya.English.mena,STALE_RELEASE_MISSING_ID,,,2026-09-19T19:04:23.767797+00:00
AlarabiyaPortrait.ae@SD,Al Arabiya,osn.com,1,osn.com,OSN.Al.Arabiya.ae,STALE_SOURCE_FEED,,,2026-09-19T19:04:23.767797+00:00
AlArabiyaPrograms.ae,العربية برامج,shahid.mbc.net,1,shahid.mbc.net,MBC.Al.Arabiya.Programs.mena,STALE_RELEASE_MISSING_ID,,,2026-09-19T19:04:23.767797+00:00
AlArabyTV.qa@SD,Al Araby TV,osn.com,1,osn.com,Al.Araby.TV.qa,STALE_SOURCE_FEED,,,2026-09-19T19:04:23.767797+00:00
AlArabyTV2.qa@SD,التلفزيون العربي 2,elcinema.com,2,osn.com,Al.Araby.2.qa,STALE_SOURCE_FEED,,,2026-09-19T19:04:23.767797+00:00
AlArabyTV2.qa@SD,Al Araby 2,osn.com,2,osn.com,Al.Araby.2.qa,STALE_SOURCE_FEED,,,2026-09-19T19:04:23.767797+00:00
AlDafrahTV.ae@SD,الظفرة,elcinema.com,1,elcinema.com,Al.Dafrah.TV.ae,STALE_SOURCE_FEED,,,2026-09-19T19:04:23.767797+00:00
AlEkhbariya.sa@SD,الإخبارية,shahid.mbc.net,1,shahid.mbc.net,MBC.Al.Ekhbariya.mena,STALE_RELEASE_MISSING_ID,,,2026-09-19T19:04:23.767797+00:00
AlHadath.sa@SD,Al Hadath,osn.com,2,osn.com,MBC.Al.Hadath.mena,STALE_SOURCE_FEED,,,2026-09-19T19:04:23.767797+00:00
AlHadath.sa@SD,الحدث,shahid.mbc.net,2,osn.com,MBC.Al.Hadath.mena,STALE_SOURCE_FEED,,,2026-09-19T19:04:23.767797+00:00
AlhayatTV.eg@SD,الحياة,elcinema.com,1,elcinema.com,Alhayat.TV.eg,STALE_SOURCE_FEED,,,2026-09-19T19:04:23.767797+00:00
AlIraqia.iq@SD,العراقية,elcinema.com,1,elcinema.com,Al.Iraqia.iq,STALE_SOURCE_FEED,,,2026-09-19T19:04:23.767797+00:00
AlJadeed.lb@SD,الجديد,elcinema.com,1,elcinema.com,Al.Jadeed.lb,STALE_SOURCE_FEED,,,2026-09-19T19:04:23.767797+00:00
AlJazeera.qa@Arabic,Al Jazeera Arabic,aljazeera.com,1,aljazeera.com,Al.Jazeera.Arabic.qa,STALE_FEED,,,2026-09-19T19:04:23.767797+00:00
AlJazeera2.qa@HD,Al Jazeera 2,aljazeera.com,1,aljazeera.com,Al.Jazeera.2.qa,STALE_FEED,,,2026-09-19T19:04:23.767797+00:00
AlJazeeraDocumentary.qa@SD,26,bein.com,1,bein.com,AlJazeeraDocumentary.qa@SD,STALE_RELEASE_MISSING_ID,,,2026-09-19T19:04:23.767797+00:00
AlKaheraWalNas.eg@SD,القاهرة والناس,elcinema.com,1,elcinema.com,Al.Kahera.Wal.Nas.eg,STALE_SOURCE_FEED,,,2026-09-19T19:04:23.767797+00:00
AlKaheraWalNas2.eg@SD,القاهرة والناس 2,elcinema.com,1,elcinema.com,Al.Kahera.Wal.Nas2.eg,STALE_SOURCE_FEED,,,2026-09-19T19:04:23.767797+00:00
AlkassEight.qa@SD,40,bein.com,1,bein.com,AlkassEight.qa@SD,STALE_RELEASE_MISSING_ID,,,2026-09-19T19:04:23.767797+00:00
AlkassFive.qa@SD,37,bein.com,1,bein.com,AlkassFive.qa@SD,STALE_RELEASE_MISSING_ID,,,2026-09-19T19:04:23.767797+00:00
AlkassFour.qa@SD,36,bein.com,1,bein.com,AlkassFour.qa@SD,STALE_RELEASE_MISSING_ID,,,2026-09-19T19:04:23.767797+00:00
AlkassOne.qa@SD,33,bein.com,1,bein.com,AlkassOne.qa@SD,STALE_RELEASE_MISSING_ID,,,2026-09-19T19:04:23.767797+00:00
AlkassSeven.qa@SD,39,bein.com,1,bein.com,AlkassSeven.qa@SD,STALE_RELEASE_MISSING_ID,,,2026-09-19T19:04:23.767797+00:00
AlkassSix.qa@SD,38,bein.com,1,bein.com,AlkassSix.qa@SD,STALE_RELEASE_MISSING_ID,,,2026-09-19T19:04:23.767797+00:00
AlkassThree.qa@SD,35,bein.com,1,bein.com,AlkassThree.qa@SD,STALE_RELEASE_MISSING_ID,,,2026-09-19T19:04:23.767797+00:00
AlkassTwo.qa@SD,34,bein.com,1,bein.com,AlkassTwo.qa@SD,STALE_RELEASE_MISSING_ID,,,2026-09-19T19:04:23.767797+00:00
AlkhuzamaRadio.sa@SD,إذاعة خزامى,shahid.mbc.net,1,shahid.mbc.net,MBC.Alkhuzama.Radio.mena,STALE_RELEASE_MISSING_ID,,,2026-09-19T19:04:23.767797+00:00
AlManar.lb@SD,المنار,elcinema.com,1,elcinema.com,Al.Manar.lb,STALE_RELEASE_MISSING_ID,,,2026-09-19T19:04:23.767797+00:00
AlMasriyah.eg@SD,المصرية,elcinema.com,1,elcinema.com,Al.Masriyah.eg,STALE_SOURCE_FEED,,,2026-09-19T19:04:23.767797+00:00
AlNahar.eg@SD,النهار,elcinema.com,1,elcinema.com,Al.Nahar.eg,STALE_SOURCE_FEED,,,2026-09-19T19:04:23.767797+00:00
AlNaharDrama.eg@SD,النهار دراما,elcinema.com,1,elcinema.com,Al.Nahar.Drama.eg,STALE_SOURCE_FEED,,,2026-09-19T19:04:23.767797+00:00
AlQuranAlKareemTV.sa@SD,Al Quran Al Kareem TV HD,osn.com,2,osn.com,Al.Quran.Al.Kareem.TV.sa,STALE_SOURCE_FEED,,,2026-09-19T19:04:23.767797+00:00
AlQuranAlKareemTV.sa@SD,القرآن الكريم,shahid.mbc.net,2,osn.com,Al.Quran.Al.Kareem.TV.sa,STALE_SOURCE_FEED,,,2026-09-19T19:04:23.767797+00:00
AlraiTV.kw@SD,Al Rai TV,osn.com,1,osn.com,Al.Rai.TV.kw,STALE_SOURCE_FEED,,,2026-09-19T19:04:23.767797+00:00
AlRasheedTV.iq@SD,الرشيد,elcinema.com,1,elcinema.com,Al.Rasheed.TV.iq,STALE_SOURCE_FEED,,,2026-09-19T19:04:23.767797+00:00
AlResalah.sa@SD,الرساله,rotana.net,1,rotana.net,Al.Resalah.2.sa,STALE_FEED,,,2026-09-19T19:04:23.767797+00:00
AlSaeedah.eg@SD,السعيدة,elcinema.com,1,elcinema.com,Al.Saeedah.eg,STALE_SOURCE_FEED,,,2026-09-19T19:04:23.767797+00:00
AlSaudiya.sa@SD,السعودية,elcinema.com,2,shahid.mbc.net,Al.Saudiya.sa,STALE_FEED,,,2026-09-19T19:04:23.767797+00:00
