GLOBAL RECEIVER ID NORMALIZATION
renamed=497 dropped_proven_duplicates=0 collisions_repaired=53
policy=one real service -> one stable canonical receiver ID

=== provider-alkass | 8 IDs ===
Alkass Eight.qa -> AlKass.Eight.qa.qa | Alkass Eight.qa
Alkass Five.qa -> AlKass.Five.qa.qa | Alkass Five.qa
Alkass Four.qa -> AlKass.Four.qa.qa | Alkass Four.qa
Alkass One.qa -> AlKass.One.qa.qa | Alkass One.qa
Alkass Seven.qa -> AlKass.Seven.qa.qa | Alkass Seven.qa
Alkass Six.qa -> AlKass.Six.qa.qa | Alkass Six.qa
Alkass Three.qa -> AlKass.Three.qa.qa | Alkass Three.qa
Alkass Two.qa -> AlKass.Two.qa.qa | Alkass Two.qa

=== provider-osn | 20 IDs ===
OSNComedy.ae@SD -> OSN.Comedy.ae | OSNtv Comedy
OSNKids.ae@SD -> OSN.Kids.ae | OSNtv Kids
OSNMezze.ae@SD -> OSN.Mezze.ae | OSNtv Mezze
OSNMoviesAction.ae@SD -> OSN.Movies.Action.ae | OSNtv Movies Action
OSNMoviesHollywood.ae@SD -> OSN.Movies.Hollywood.ae | OSNtv Movies Hollywood
OSNMoviesPremiere.ae@SD -> OSN.Movies.Premiere.ae | OSNtv Movies Premiere
OSNShowcase.ae@SD -> OSN.Showcase.ae | OSNtv Showcase
OSNYahala.ae@SD -> OSN.Yahala.ae | OSNtv Yahala
OSNYahalaAflam.ae@SD -> OSN.Yahala.Aflam.ae | OSNtv Yahala Aflam
OSNYahalaBilArabi.ae@SD -> OSN.Yahala.Bil.Arabi.ae | OSNtv Yahala Bil Arabi
OSNtv Crime.sa -> OSN.Crime.ae | OSNtv Crime
OSNtv Documentary.sa -> OSN.Documentary.ae | OSNtv Documentary
OSNtv Movies Comedy.sa -> OSN.Movies.Comedy.ae | OSNtv Movies Comedy
OSNtv Movies Family.sa -> OSN.Movies.Family.ae | OSNtv Movies Family
OSNtv Movies Horror.sa -> OSN.Movies.Horror.ae | OSNtv Movies Horror
OSNtv Now.sa -> OSN.Now.ae | OSNtv Now
OSNtv One.sa -> OSN.One.ae | OSNtv One
OSNtv Pop Up.sa -> OSN.Pop.Up.ae | OSNtv Pop Up
OSNtv Showcase Classics.sa -> OSN.Showcase.Classics.ae | OSNtv Showcase Classics
OSNtv iQIYI.sa -> OSN.iQIYI.ae | OSNtv iQIYI

=== provider-mbc | 17 IDs ===
AlHadath.sa@SD -> MBC.Al.Hadath.mena | Al Hadath
Alarabiya.ae@SD -> MBC.Alarabiya.mena | العربية
MBC1.ae@SD -> MBC.1.mena | MBC1
MBC2.ae@SD -> MBC.2.mena | MBC2
MBC3.ae@SD -> MBC.3.mena | MBC 3
MBC4.ae@SD -> MBC.4.mena | MBC4
MBC5.ae@SD -> MBC.5.mena | MBC 5
MBCAction.ae@SD -> MBC.Action.mena | MBC Action
MBCBollywood.ae@SD -> MBC.Bollywood.mena | MBC Bollywood
MBCDrama.ae@SD -> MBC.Drama.mena | MBC Drama
MBCIraq.iq@SD -> MBC.Iraq.mena | MBC Iraq
MBCMasr.eg@SD -> MBC.Masr.mena | MBC Masr
MBCMasr2.eg@SD -> MBC.Masr2.mena | MBC Masr2
MBCMasrDrama.sa@SD -> MBC.MBCMasrDrama.mena | إم بي سي مصر دراما
MBCMax.ae@SD -> MBC.MAX.mena | MBC MAX
MBCPersia.ae@SD -> MBC.Persia.mena | MBC Persia
MBCPlusDrama.sa@SD -> MBC.Plus.Drama.mena | MBC Plus Drama

=== provider-rotana | 11 IDs ===
Rotana + HD.sa -> Rotana.sa.mena | Rotana + HD.sa
Rotana Aflam +.sa -> Rotana.Aflam.sa.mena | Rotana Aflam +.sa
Rotana Kids.sa -> Rotana.Kids.sa.mena | Rotana Kids.sa
Rotana M+ HD.sa -> Rotana.M.sa.mena | Rotana M+ HD.sa
Rotana Music HD.sa -> Rotana.Music.sa.mena | Rotana Music HD.sa
RotanaCinemaEgypt.eg@SD -> Rotana.RotanaCinemaEgypt.mena | روتانا سينما مصر
RotanaCinemaKSA.sa@SD -> Rotana.RotanaCinemaKSA.mena | روتانا سينما السعودية
RotanaClassic.sa@SD -> Rotana.RotanaClassic.mena | روتانا كلاسيك
RotanaComedy.sa@SD -> Rotana.RotanaComedy.mena | روتانا كوميدي
RotanaDrama.sa@SD -> Rotana.RotanaDrama.mena | روتانا دراما
RotanaKhalijia.sa@SD -> Rotana.RotanaKhalijia.mena | روتانا خليجية

=== provider-adm | 11 IDs ===
ADSportsExtra.ae -> ADM.AD.Sports.Extra.ae | AD Sports Extra
ADSportsPremium1.ae -> ADM.AD.Sports.Premium.1.ae | AD Sports Premium 1
ADSportsPremium2.ae -> ADM.AD.Sports.Premium.2.ae | AD Sports Premium 2
AbuDhabiEmirates.ae -> ADM.Al.Emarat.TV.ae | Al Emarat TV
AbuDhabiSports1.ae -> ADM.Abu.Dhabi.Sports.1.ae | Abu Dhabi Sports 1
AbuDhabiSports2.ae -> ADM.Abu.Dhabi.Sports.2.ae | Abu Dhabi Sports 2
AbuDhabiTV.ae -> ADM.Abu.Dhabi.TV.ae | Abu Dhabi TV
Majid.ae -> ADM.Majid.ae | Majid
NationalGeographicAbuDhabi.ae -> ADM.National.Geographic.Abu.Dhabi.ae | National Geographic Abu Dhabi
YasTV.ae -> ADM.Yas.TV.ae | Yas TV
YasTVExtra.ae -> ADM.YAS.TV.Extra.ae | YAS TV Extra

=== provider-dmi | 9 IDs ===
Dubai One.sa -> DMI.Dubai.One.sa.ae | Dubai One.sa
Dubai Sports 2.sa -> DMI.Dubai.Sports.2.sa.ae | Dubai Sports 2.sa
Dubai Sports HD.sa -> DMI.Dubai.Sports.sa.ae | Dubai Sports HD.sa
Dubai Zaman.eg -> DMI.Dubai.Zaman.eg.ae | Dubai Zaman.eg
Dubai.Racing.1.HD.ae -> DMI.Dubai.Racing.1.ae | Dubai Racing 1 HD
Dubai.Racing.2.ae -> DMI.Dubai.Racing.2.ae | Dubai Racing 2
DubaiTV.ae@SD -> DMI.Dubai.TV.ae | Dubai TV HD
Noor.DubaiTV.ae -> DMI.Noor.DubaiTV.ae | Noor DubaiTV
Sama Dubai.sa -> DMI.Sama.Dubai.sa.ae | Sama Dubai.sa

=== provider-art | 8 IDs ===
Alfa Al Safwa.sa -> ART.Alfa.Al.Safwa.sa.mena | Alfa Al Safwa.sa
Alfa Al Yawm HD.sa -> ART.Alfa.Al.Yawm.sa.mena | Alfa Al Yawm HD.sa
Alfa Cinema 1.sa -> ART.Alfa.Cinema.1.sa.mena | Alfa Cinema 1.sa
Alfa Cinema 2.sa -> ART.Alfa.Cinema.2.sa.mena | Alfa Cinema 2.sa
Alfa Fann.sa -> ART.Alfa.Fann.sa.mena | Alfa Fann.sa
Alfa Music HD.sa -> ART.Alfa.Music.sa.mena | Alfa Music HD.sa
Alfa Series +2 HD.sa -> ART.Alfa.Series.2.sa.mena | Alfa Series +2 HD.sa
Alfa Series HD.sa -> ART.Alfa.Series.sa.mena | Alfa Series HD.sa

=== provider-starz | 5 IDs ===
