AlDafrahTV.ae@SD|الظفرة
AlSharqiyaMinKabla.ae@SD|الشرقية
CartoonNetworkArabic.ae@SD|CN Arabia
CNBC.Arabiya.ae|CNBC Arabiya
Emarat.HD.ae|Emarat HD
Emirates.eg|Emirates.eg
Fujairah TV.sa|Fujairah TV.sa
Fujairah.eg|Fujairah.eg
FujairahTV.ae@SD|الفجيرة
NickelodeonArabia.ae@SD|Nickelodeon HD
NickJrArabia.ae@SD|Nick Jr HD
NicktoonsArabia.ae@SD|NickToons HD
Sharjah Quran.sa|Sharjah Quran.sa
Sharjah Sports.sa|Sharjah Sports.sa
Sharjah TV.sa|Sharjah TV.sa
Sharjah.HD.ae|Sharjah HD
SharjahTV.ae@SD|الشارقة
SkyNewsArabia.ae@SD|Sky News Arabia HD
StarMoviesMiddleEast.ae@SD|Star Movies Middle East
StarWorldMiddleEast.ae@SD|Star World Middle East
ZeeAlwan.ae@SD|زي ألوان
