shard,id,name,verdict,score,auto_lock,events,coverage_h,span_h,gaps_gt_2h,empty_desc,title_ar_pct,title_latin_pct,desc_ar_pct,feed_country,issues,warnings,preview_1,preview_2
provider-alkass,2023 Alkass 1.qa,2023 Alkass 1.qa,REVIEW,84,0,16,17.98,17.98,0,0,0.0,100.0,100.0,qa,,STALE_YEAR_IN_ID; ARABIC_PROVIDER_TITLE_AR_LOW=0%,The Council,Preview
provider-alkass,2023 Alkass 2.qa,2023 Alkass 2.qa,REVIEW,84,0,18,17.48,17.48,0,0,0.0,100.0,100.0,qa,,STALE_YEAR_IN_ID; ARABIC_PROVIDER_TITLE_AR_LOW=0%,Dawry Al Darajah Al Thanya Al Qatary,Sport Confidential
provider-alkass,2023 Alkass 3.qa,2023 Alkass 3.qa,REVIEW,84,0,17,20.98,21.5,0,0,0.0,100.0,100.0,qa,,STALE_YEAR_IN_ID; ARABIC_PROVIDER_TITLE_AR_LOW=0%,Golmania,Botoulat Asia Lel Shabab Lekorat Al Yad
provider-alkass,2023 Alkass 4.qa,2023 Alkass 4.qa,REVIEW,76,0,14,16.73,16.73,0,0,0.0,100.0,100.0,qa,,LONG_GT_6H=1; STALE_YEAR_IN_ID; ARABIC_PROVIDER_TITLE_AR_LOW=0%,Auto Mundial,King of the Court Beach Volleyball Championship
provider-alkass,2023 Alkass 5.qa,2023 Alkass 5.qa,REVIEW,84,0,18,17.48,17.48,0,0,0.0,100.0,100.0,qa,,STALE_YEAR_IN_ID; ARABIC_PROVIDER_TITLE_AR_LOW=0%,Second Division / Lusail VS Al Bidda,SPORT CONFIDENTIAL
provider-alkass,2023 Alkass 6.qa,2023 Alkass 6.qa,REVIEW,92,0,42,44.97,46.0,0,0,100.0,0.0,100.0,qa,,STALE_YEAR_IN_ID,دوري الدرجة الثانية القطري,فيبا وورلد باسكت بول
provider-alkass,2023 Alkass 7.qa,2023 Alkass 7.qa,REVIEW,92,0,43,45.22,46.25,0,0,100.0,0.0,100.0,qa,,STALE_YEAR_IN_ID,معرض كتارا الدولي للصيد والصقور سهيل,أخبار
provider-alkass,2023 Alkass 8.qa,2023 Alkass 8.qa,REVIEW,92,0,34,45.97,47.0,0,0,100.0,0.0,100.0,qa,,STALE_YEAR_IN_ID,سباق الهجن,دوري نجوم قطر
provider-alkass,AlkassFive.qa@SD,Alkass Five,PASS,100,1,13,16.0,16.0,0,0,100.0,0.0,100.0,qa,,,مهرجان يورك إيبور,بطولة آسيا للشباب لكرة اليد
provider-bein,4k_DIGITAL_Mono_AR.bein,4k_DIGITAL_Mono_AR,REVIEW,92,0,19,37.05,37.05,0,0,73.7,100.0,100.0,,,DUPLICATE_TIMELINE_GROUP=2; DUPLICATE_TIMELINE_UNRELATED,Main Race - F1 Spanish Grand Prix - FIA Formula 1 World Championship,Live : rpool v Fulham - الدوري الإنجليزي الممتاز
provider-bein,beIN Drama.eg,beIN Drama.eg,REVIEW,84,0,14,13.0,13.0,0,14,7.1,100.0,0.0,eg,,EMPTY_DESC=14(100%); PREMIUM_AR_DESC_LOW=0%,Mazad El Shar,Sarab
provider-bein,BEIN MOVIES ACTION.eg,BEIN MOVIES ACTION.eg,REVIEW,84,0,26,49.77,49.77,0,26,0.0,100.0,0.0,eg,,EMPTY_DESC=26(100%); PREMIUM_AR_DESC_LOW=0%,Men in Black: International,My Nanny Stole My Life
provider-bein,BEIN MOVIES DRAMA.eg,BEIN MOVIES DRAMA.eg,REVIEW,84,0,27,49.48,49.48,0,27,0.0,100.0,0.0,eg,,EMPTY_DESC=27(100%); PREMIUM_AR_DESC_LOW=0%,The Addams Family,Forrest Gump
provider-bein,BEIN MOVIES FAMILY.eg,BEIN MOVIES FAMILY.eg,REVIEW,84,0,29,48.0,48.0,0,29,0.0,100.0,0.0,eg,,EMPTY_DESC=29(100%); PREMIUM_AR_DESC_LOW=0%,Are We Done Yet?,Paw Patrol: Jet to the Rescue
provider-bein,BEIN MOVIES PREMIERE.eg,BEIN MOVIES PREMIERE.eg,REVIEW,84,0,26,48.27,48.27,0,26,0.0,100.0,0.0,eg,,EMPTY_DESC=26(100%); PREMIUM_AR_DESC_LOW=0%,Force of Nature: The Dry 2,Adulthood
provider-bein,BeIn Series HD 1.eg,BeIn Series HD 1.eg,REVIEW,84,0,13,13.0,13.0,0,13,0.0,84.6,0.0,eg,,EMPTY_DESC=13(100%); PREMIUM_AR_DESC_LOW=0%,Matlock S2,The Good Doctor S1
provider-bein,beIN Series HD 2.eg,beIN Series HD 2.eg,REVIEW,84,0,15,13.42,13.42,0,15,0.0,100.0,0.0,eg,,EMPTY_DESC=15(100%); PREMIUM_AR_DESC_LOW=0%,NCIS: Sydney S3,King & Conqueror
provider-bein,beIN SPORTS 1.qa,beIN SPORTS 1.qa,PASS,100,1,37,44.5,44.5,0,0,89.2,100.0,100.0,qa,,,Manchester United vs Manchester City - الدوري الإنجليزي الممتاز,UEL/UECL Magazine - مجلة 2026/2027 -UEL MD1 Preview - تقديم
provider-bein,beIN SPORTS EN 1.qa,beIN SPORTS EN 1.qa,PASS,100,1,39,44.17,44.17,0,0,76.9,100.0,100.0,qa,,,Manchester United vs Manchester City - الدوري الإنجليزي الممتاز,Japan vs Thailand - Football Women's - Asian Games Aichi-Nagoya 2026 - FBL01
provider-bein,beIN SPORTS EN 2.qa,beIN SPORTS EN 2.qa,PASS,100,1,35,45.92,45.92,0,0,28.6,100.0,100.0,qa,,,Chinese Taipei vs Vietnam - Football Women's - Asian Games Aichi-Nagoya 2026 - FBL01,Premier Padel Highlights - ملخص 2026 - Madrid P1
provider-bein,bein SPORTS FTA DIGITAL.qa,bein SPORTS FTA DIGITAL.qa,PASS,100,1,26,44.17,44.67,0,0,0.0,100.0,100.0,qa,,,China vs Philippines - Basketball Men - Asian Games Aichi-Nagoya 2026 - BKB06,Chinese Taipei vs Vietnam - Football Women's - Asian Games Aichi-Nagoya 2026 - FBL01
provider-bein,beIN SPORTS MAX 1.qa,beIN SPORTS MAX 1.qa,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,qa,NO_PROGRAMMES,,,
provider-bein,beIN SPORTS MAX 2.qa,beIN SPORTS MAX 2.qa,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,qa,NO_PROGRAMMES,,,
