SHARJAH WINDOW PROBE

2026-09-12 ts | api_ts=1789171200->1789257600 | channels=4 nonempty=0 | 
2026-09-12 start_end | api_ts=1789344000->1789430400 | channels=4 nonempty=0 | 
2026-09-12 date | api_ts=1789344000->1789430400 | channels=4 nonempty=0 | 
2026-09-12 ts_ar | api_ts=1789171200->1789257600 | channels=4 nonempty=0 | 
2026-09-12 ts_locale | api_ts=1789171200->1789257600 | channels=4 nonempty=0 | 
2026-09-13 ts | api_ts=1789257600->1789344000 | channels=4 nonempty=0 | 
2026-09-13 start_end | api_ts=1789344000->1789430400 | channels=4 nonempty=0 | 
2026-09-13 date | api_ts=1789344000->1789430400 | channels=4 nonempty=0 | 
2026-09-13 ts_ar | api_ts=1789257600->1789344000 | channels=4 nonempty=0 | 
2026-09-13 ts_locale | api_ts=1789257600->1789344000 | channels=4 nonempty=0 | 
2026-09-14 ts | api_ts=1789344000->1789430400 | channels=4 nonempty=0 | 
2026-09-14 start_end | api_ts=1789344000->1789430400 | channels=4 nonempty=0 | 
2026-09-14 date | api_ts=1789344000->1789430400 | channels=4 nonempty=0 | 
2026-09-14 ts_ar | api_ts=1789344000->1789430400 | channels=4 nonempty=0 | 
2026-09-14 ts_locale | api_ts=1789344000->1789430400 | channels=4 nonempty=0 | 
2026-09-15 ts | api_ts=1789430400->1789516800 | channels=4 nonempty=0 | 
2026-09-15 start_end | api_ts=1789344000->1789430400 | channels=4 nonempty=0 | 
2026-09-15 date | api_ts=1789344000->1789430400 | channels=4 nonempty=0 | 
2026-09-15 ts_ar | api_ts=1789430400->1789516800 | channels=4 nonempty=0 | 
2026-09-15 ts_locale | api_ts=1789430400->1789516800 | channels=4 nonempty=0 | 
2026-09-16 ts | api_ts=1789516800->1789603200 | channels=4 nonempty=0 | 
2026-09-16 start_end | api_ts=1789344000->1789430400 | channels=4 nonempty=0 | 
2026-09-16 date | api_ts=1789344000->1789430400 | channels=4 nonempty=0 | 
2026-09-16 ts_ar | api_ts=1789516800->1789603200 | channels=4 nonempty=0 | 
2026-09-16 ts_locale | api_ts=1789516800->1789603200 | channels=4 nonempty=0 | 
2026-09-21 ts | api_ts=1789948800->1790035200 | channels=4 nonempty=0 | 
2026-09-21 start_end | api_ts=1789344000->1789430400 | channels=4 nonempty=0 | 
2026-09-21 date | api_ts=1789344000->1789430400 | channels=4 nonempty=0 | 
2026-09-21 ts_ar | api_ts=1789948800->1790035200 | channels=4 nonempty=0 | 
2026-09-21 ts_locale | api_ts=1789948800->1790035200 | channels=4 nonempty=0 | 
