AlJazeeraDocumentary.qa@SD|26
AlkassFive.qa@SD|37
AlkassFour.qa@SD|36
AlkassOne.qa@SD|33
AlkassSeven.qa@SD|39
AlkassSix.qa@SD|38
AlkassThree.qa@SD|35
AlkassTwo.qa@SD|34
Baraem.qa@SD|BaraemTV
beIN4K.qa@SD|beIN 4K
beINGourmet.qa@SD|beINGOURMET
beINMovies1Premiere.qa@SD|beINMOVIES1
beINMovies2Action.qa@SD|beINMOVIES2
beINMovies3Drama.qa@SD|beINMOVIES3
beINMovies4Family.qa@SD|beINMOVIES4
beINSeries1.qa@SD|beINSERIES1
beINSports.qa@MENA|beIN SPORTS
beINSports1.qa@Australia|beIN SPORTS 1
beINSports1.qa@France|beIN SPORTS 1
beINSports1.qa@Malaysia|beIN SPORTS 1
beINSports1.qa@MENA|beIN SPORTS 1
beINSports2.qa@Australia|beIN SPORTS 2
beINSports2.qa@France|beIN SPORTS 2
beINSports2.qa@MENA|beINSPORTS2
beINSports3.qa@Australia|beIN SPORTS 3
beINSports3.qa@France|beIN SPORTS 3
beINSports3.qa@MENA|beINSPORTS3
beINSports3.qa@USA|beIN SPORTS 3
beINSports4.qa@MENA|beINSPORT4
beINSports4.qa@USA|beIN SPORTS 4
beINSports4KHDR.qa|beINSPORTS4KHDR
beINSports5.qa@MENA|beINSPORTS5
beINSports5.qa@USA|beIN SPORTS 5
beINSports6.qa@MENA|beINSPORTS6
beINSports6.qa@USA|beIN SPORTS 6
beINSports7.qa@MENA|beINSPORTS7
beINSports7.qa@USA|beIN SPORTS 7
beINSports8.qa@MENA|beINSPORTS8
beINSports8.qa@USA|beIN SPORTS 8
beINSports9.qa@MENA|beINSPORTS9
beINSportsenEspanol.qa@SD|beIN SPORTS Español
beINSportsMax1.qa@MENA|beINSPORTSMAX1
beINSportsMax10.qa@France|beIN SPORTS MAX 10
beINSportsMax2.qa@MENA|beINSPORTSMAX2
beINSportsMax3.qa@MENA|beINSPORTSMAX3
beINSportsMax4.qa@France|beIN SPORTS MAX 4
beINSportsMax4.qa@MENA|beINSPORTSMAX4
beINSportsMax5.qa@France|beIN SPORTS MAX 5
beINSportsMax5.qa@MENA|beINSPORTSMAX5
beINSportsMax6.qa@France|beIN SPORTS MAX 6
beINSportsMax6.qa@MENA|beINSPORTSMAX6
beINSportsMax7.qa@France|beIN SPORTS MAX 7
beINSportsMax8.qa@France|beIN SPORTS MAX 8
beINSportsMax9.qa@France|beIN SPORTS MAX 9
beINSportsNews.qa@SD|beIN SPORTS NEWS
beINSportsUSA.us@SD|beIN SPORTS
beINSPORTSXTRA.us@SD|beIN SPORTS XTRA
beINSportsXtra1.qa@SD|beIN SPORTS XTRA 1
beINSportsXtra2.qa@SD|beIN SPORTS XTRA 2
beINSPORTSXTRAenEspanol.us@SD|beIN SPORTS XTRA ñ
BeJunior.qa@SD|21
BloombergTV.us@MiddleEast|22
CBeebiesMiddleEast.uk@SD|31
ClubMTVEurope.uk@SD|20
CNNArabic.ae@SD|27
DiscoveryChannelMiddleEastAfrica.us@SD|28
EuronewsEnglish.fr@SD|28
Fatafeat.ae@SD|17
FoodNetworkEMEA.us@SD|14
FoxActionMoviesMENA.hk@SD|6
FoxArabia.ae@SD|13
FoxLifeMiddleEast.ae@SD|18
FoxMoviesMiddleEast.us@SD|5
HGTVArabia.us@SD|15
JeemTV.qa@SD|29
MTV80s.uk@SD|18
MTV90s.uk@SD|19
StarMoviesMiddleEast.ae@SD|7
StarWorldMiddleEast.ae@SD|16
