AlJadeed.lb@SD|الجديد
AlKaheraWalNas.eg@SD|القاهرة والناس
AlKaheraWalNas2.eg@SD|القاهرة والناس 2
AlSaudiya.sa@SD|السعودية
Alsumaria.iq@SD|السومرية
beINMovies1Premiere.qa@SD|بي إن موفيز بريمير
beINMovies3Drama.qa@SD|بي إن موفيز دراما
DMC.eg@SD|دي إم سي
DMCDrama.eg@SD|دي إم سي دراما
DubaiOne.ae@SD|دبي وان
DubaiTV.ae@SD|دبي
EchoroukTV.dz@SD|الشروق الجزائرية
LBC.sa@SD|إل بي سي
Masah.sa@SD|ماسة
MBC1.ae@SD|إم بي سي
MBC2.ae@SD|إم بي سي 2
MBC4.ae@SD|إم بي سي 4
MBCAction.ae@SD|إم بي سي أكشن
MBCBollywood.ae@SD|إم بي سي بوليوود
MBCIraq.iq@SD|إم بي سي العراق
MBCMasr.eg@SD|إم بي سي مصر
MBCPlusDrama.sa@SD|إم بي سي دراما +
NessmaElJadida.tn@SD|نسمة
RotanaCinemaEgypt.eg@SD|روتانا سينما مصر
RotanaKhalijia.sa@SD|روتانا خليجية
RoyaTV.jo@SD|رؤيا
SadaElbalad2.eg@SD|صدى البلد 2
