source,alias_id,canonical_id,verdict,events,shard,programme_1,programme_2
epgshare-ae1,Abu.Dhabi.HD.ae,AbuDhabiTV.ae,NOT_PUBLISHED,0,,,
epgshare-ae1,AD.Sports.1.HD.ae,AbuDhabiSports1.ae,NOT_PUBLISHED,0,,,
epgshare-ae1,AD.Sports.2.HD.ae,AbuDhabiSports2.ae,NOT_PUBLISHED,0,,,
epgshare-ae1,Aden.Almustakillah.HD.ae,Aden.TV.ae,NOT_PUBLISHED,0,,,
epgshare-ae1,Al.Arabiya.Business.ae,Al Arabiya Business.sa,NOT_PUBLISHED,0,,,
epgshare-ae1,Al.Arabiya.HD.ae,Al Arabiya.sa,NOT_PUBLISHED,0,,,
epgshare-ae1,Al.Araby.2.HD.ae,AlArabyTV2.qa@SD,NOT_PUBLISHED,0,,,
epgshare-ae1,Al.Dafrah.HD.ae,Al Dafrah.sa,NOT_PUBLISHED,0,,,
epgshare-ae1,Al.Hadath.ae,AlHadath.sa@SD,NOT_PUBLISHED,0,,,
epgshare-ae1,Al.Hayat.ae,Al Hayat.sa,NOT_PUBLISHED,0,,,
epgshare-ae1,Al.Mamlaka.TV.HD.ae,Al Mamlaka TV.sa,NOT_PUBLISHED,0,,,
epgshare-ae1,Al.Nahar.Drama.ae,Al Nahar Drama.sa,NOT_PUBLISHED,0,,,
epgshare-ae1,Al.Nahar.TV.ae,Al Nahar TV.sa,NOT_PUBLISHED,0,,,
epgshare-ae1,Al.Rai.TV.ae,AlraiTV.kw@SD,NOT_PUBLISHED,0,,,
epgshare-ae1,Alkass.Four.ae,Alkass Four.qa,NOT_PUBLISHED,0,,,
epgshare-ae1,Alkass.One.HD.ae,Alkass One.qa,NOT_PUBLISHED,0,,,
epgshare-ae1,Alkass.Three.ae,Alkass Three.qa,NOT_PUBLISHED,0,,,
epgshare-ae1,Alkass.Two.HD.ae,Alkass Two.qa,NOT_PUBLISHED,0,,,
epgshare-ae1,Amman.TV.HD.ae,Amman TV.sa,NOT_PUBLISHED,0,,,
epgshare-ae1,ar:.أبوظبي.الرياضية.إكسترا.ae,AbuDhabiTV.ae,NOT_PUBLISHED,0,,,
epgshare-ae1,ar:.أبوظبي.الرياضية.بريميوم.2.-.الدوري.الإيطالي.ae,AbuDhabiTV.ae,NOT_PUBLISHED,0,,,
epgshare-ae1,ar:.ياس.تي.في.إكسترا.ae,YasTVExtra.ae,NOT_PUBLISHED,0,,,
epgshare-ae1,Asharq.Discovery.HD.ae,Asharq Discovery.sa,NOT_PUBLISHED,0,,,
epgshare-ae1,Asharq.Documentary.HD.ae,AsharqDocumentary.sa@SD,NOT_PUBLISHED,0,,,
epgshare-ae1,Bahrain.TV.HD.ae,BahrainTV.bh@SD,NOT_PUBLISHED,0,,,
epgshare-ae1,BBC.Arabic.ae,BBC Arabic.sa,NOT_PUBLISHED,0,,,
epgshare-ae1,BBC.World.News.ae,BBC World News.sa,NOT_PUBLISHED,0,,,
epgshare-ae1,beIN.Sports.HD.ae,beIN SPORTS.qa,NOT_PUBLISHED,0,,,
epgshare-ae1,beIN.Sports.News.ae,beIN SPORTS NEWS.qa,NOT_PUBLISHED,0,,,
epgshare-ae1,CBC.ae,CBC.sa,NOT_PUBLISHED,0,,,
epgshare-ae1,CBC.Drama.ae,CBC Drama.sa,NOT_PUBLISHED,0,,,
epgshare-ae1,CBC.Sofra.ae,CBC Sofra.sa,NOT_PUBLISHED,0,,,
epgshare-ae1,Cima.ae,Cima.eg,REVIEW,18,mena-eg,Mr. Ayub,Satrak Ya Rab
epgshare-ae1,CN.Arabic.ae,CN Arabic.sa,NOT_PUBLISHED,0,,,
epgshare-ae1,DMC.ae,DMC.eg@SD,NOT_PUBLISHED,0,,,
epgshare-ae1,DMC.Drama.ae,DMC DRAMA.eg,NOT_PUBLISHED,0,,,
epgshare-ae1,Dubai.ae,Dubai.sa,NOT_PUBLISHED,0,,,
epgshare-ae1,Dubai.HD.ae,Dubai.sa,NOT_PUBLISHED,0,,,
epgshare-ae1,Dubai.One.HD.ae,Dubai One.sa,NOT_PUBLISHED,0,,,
epgshare-ae1,Dubai.Sports.1.HD.ae,Dubai.Sports.1.ae,NOT_PUBLISHED,0,,,
