source,type,ids,working,not_working,pass,review,no_epg,fail,not_published,coverage_pct,current_48h_candidates,quarantined_identity_only,retired_dropped
aljazeera.com,PRIMARY,2,0,2,0,0,0,0,2,0.0,,,
ayn.om,PRIMARY,4,0,4,0,0,0,0,4,0.0,,,
bein.com,PRIMARY,1,0,1,0,0,0,0,1,0.0,,,
elcinema.com,PRIMARY,40,0,40,0,0,0,0,40,0.0,,,
freetv.tv,PRIMARY,1,0,1,0,0,0,0,1,0.0,,,
i24news.tv,PRIMARY,1,0,1,0,0,0,0,1,0.0,,,
osn.com,PRIMARY,61,0,61,0,0,0,0,61,0.0,,,
rotana.net,PRIMARY,8,0,8,0,0,0,0,8,0.0,,,
roya-tv.com,PRIMARY,5,0,5,0,0,0,0,5,0.0,,,
shahid.mbc.net,PRIMARY,22,0,22,0,0,0,0,22,0.0,,,
epgshare-ae1,MERGE_UPSTREAM,,,,,,,,,,179,385,0
epgshare-aljazeera1,MERGE_UPSTREAM,,,,,,,,,,2,0,0
epgshare-bein1,MERGE_UPSTREAM,,,,,,,,,,39,0,0
epgshare-sa2,MERGE_UPSTREAM,,,,,,,,,,18,13,10
openepg-egypt1,MERGE_UPSTREAM,,,,,,,,,,95,0,0
openepg-egypt2,MERGE_UPSTREAM,,,,,,,,,,95,0,0
openepg-palestine1,MERGE_UPSTREAM,,,,,,,,,,2,0,0
openepg-qatar1,MERGE_UPSTREAM,,,,,,,,,,29,0,0
openepg-qatar2,MERGE_UPSTREAM,,,,,,,,,,19,10,0
openepg-qatar3,MERGE_UPSTREAM,,,,,,,,,,21,7,0
openepg-qatar4,MERGE_UPSTREAM,,,,,,,,,,13,0,0
openepg-qatar5,MERGE_UPSTREAM,,,,,,,,,,9,0,0
openepg-qatar6,MERGE_UPSTREAM,,,,,,,,,,8,0,0
openepg-saudi1,MERGE_UPSTREAM,,,,,,,,,,132,0,0
openepg-saudi2,MERGE_UPSTREAM,,,,,,,,,,132,0,0
openepg-saudi3,MERGE_UPSTREAM,,,,,,,,,,22,0,0
openepg-saudi4,MERGE_UPSTREAM,,,,,,,,,,22,0,0
openepg-saudi5,MERGE_UPSTREAM,,,,,,,,,,94,0,0
openepg-saudi6,MERGE_UPSTREAM,,,,,,,,,,89,0,0
openepg-uae6,MERGE_UPSTREAM,,,,,,,,,,24,0,0
