source,source_id,xmltv_id,channel_name,relation,canonical_id,operational,verdict,events,coverage_h,score,auto_lock,shard,issues,warnings,programme_1,programme_2,override_site,priority
shahid.mbc.net,989622,Aflam.sa@SD,أفلام,DIRECT,Aflam.sa@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,10
shahid.mbc.net,387286,Alarabiya.ae@SD,العربية,DIRECT,Alarabiya.ae@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,shahid.mbc.net,10
osn.com,3800,AlArabyTV.qa@SD,Al Araby TV,DIRECT,AlArabyTV.qa@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,25
osn.com,9844,AlArabyTV2.qa@SD,Al Araby 2,DIRECT,AlArabyTV2.qa@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,25
elcinema.com,1264,AlDafrahTV.ae@SD,الظفرة,DIRECT,AlDafrahTV.ae@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,100
osn.com,9910,AlHadath.sa@SD,Al Hadath,DIRECT,AlHadath.sa@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,osn.com,25
elcinema.com,1137,AlhayatTV.eg@SD,الحياة,DIRECT,AlhayatTV.eg@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,100
elcinema.com,1349,AlIraqia.iq@SD,العراقية,DIRECT,AlIraqia.iq@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,100
elcinema.com,1216,AlJadeed.lb@SD,الجديد,DIRECT,AlJadeed.lb@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,100
aljazeera.com,aja#,AlJazeera.qa@Arabic,Al Jazeera Arabic,DIRECT,AlJazeera.qa@Arabic,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,13
aljazeera.com,aja#aj2,AlJazeera2.qa@HD,Al Jazeera 2,DIRECT,AlJazeera2.qa@HD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,13
elcinema.com,1174,AlKaheraWalNas.eg@SD,القاهرة والناس,DIRECT,AlKaheraWalNas.eg@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,100
elcinema.com,1252,AlKaheraWalNas2.eg@SD,القاهرة والناس 2,DIRECT,AlKaheraWalNas2.eg@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,100
elcinema.com,1119,AlMasriyah.eg@SD,المصرية,DIRECT,AlMasriyah.eg@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,100
elcinema.com,1193,AlNahar.eg@SD,النهار,DIRECT,AlNahar.eg@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,100
elcinema.com,1223,AlNaharDrama.eg@SD,النهار دراما,DIRECT,AlNaharDrama.eg@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,100
osn.com,9963,AlQuranAlKareemTV.sa@SD,Al Quran Al Kareem TV HD,DIRECT,AlQuranAlKareemTV.sa@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,osn.com,25
osn.com,9043,AlraiTV.kw@SD,Al Rai TV,DIRECT,AlraiTV.kw@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,25
elcinema.com,1306,AlRasheedTV.iq@SD,الرشيد,DIRECT,AlRasheedTV.iq@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,100
rotana.net,446,AlResalah.sa@SD,الرساله,DIRECT,AlResalah.sa@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,11
elcinema.com,1339,AlSaeedah.eg@SD,السعيدة,DIRECT,AlSaeedah.eg@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,100
shahid.mbc.net,946938,AlSaudiya.sa@SD,السعودية,DIRECT,AlSaudiya.sa@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,10
elcinema.com,1269,AlSharqiyaMinKabla.ae@SD,الشرقية,DIRECT,AlSharqiyaMinKabla.ae@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,100
elcinema.com,1301,Alsumaria.iq@SD,السومرية,DIRECT,Alsumaria.iq@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,100
elcinema.com,1398,Althania.sy@SD,الثانية,DIRECT,Althania.sy@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,100
elcinema.com,1298,AmmanTV.jo@SD,عَمان,DIRECT,AmmanTV.jo@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,100
osn.com,4505,AnimalPlanetEurope.uk@SD,Animal Planet HD,DIRECT,AnimalPlanetEurope.uk@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,25
shahid.mbc.net,1001845,AsharqDiscovery.sa@SD,الشرق ديسكفري,DIRECT,AsharqDiscovery.sa@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,10
shahid.mbc.net,997605,AsharqDocumentary.sa@SD,Asharq Documentary,DIRECT,AsharqDocumentary.sa@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,10
shahid.mbc.net,862837,AsharqNews.sa@SD,الشرق,DIRECT,AsharqNews.sa@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,10
shahid.mbc.net,975435,BabAlHara.sa@SD,قناة باب الحارة,DIRECT,BabAlHara.sa@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,10
osn.com,9013,BahrainTV.bh@SD,Bahrain TV,DIRECT,BahrainTV.bh@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,25
osn.com,9099,BBCArabic.uk@SD,BBC World,DIRECT,BBCArabic.uk@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,25
bein.com,entertainment#21,BeJunior.qa@SD,21,DIRECT,BeJunior.qa@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,16
osn.com,4512,BloombergOriginals.us@SD,Bloomberg Originals,DIRECT,BloombergOriginals.us@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,25
osn.com,9987,CartoonNetworkArabic.ae@SD,CN Arabia,DIRECT,CartoonNetworkArabic.ae@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,25
osn.com,4507,CartoonNetworkMENA.uk@SD,Cartoon Network HD,DIRECT,CartoonNetworkMENA.uk@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,25
elcinema.com,1198,CBC.eg@SD,سي بي سي,DIRECT,CBC.eg@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,100
elcinema.com,1199,CBCDrama.eg@SD,سي بي سي دراما,DIRECT,CBCDrama.eg@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,100
elcinema.com,1176,Cima.eg@SD,سيما,DIRECT,Cima.eg@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,100
osn.com,4504,CNNInternational.us@MENA,CNN HD,DIRECT,CNNInternational.us@MENA,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,25
osn.com,212,CrimePlusInvestigation.us@SD,C & I,DIRECT,CrimePlusInvestigation.us@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,25
elcinema.com,1385,DijlahTV.iq@SD,دجلة,DIRECT,DijlahTV.iq@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,100
osn.com,5665,DiscoveryChannelMiddleEastAfrica.us@SD,Discovery Channel HD,DIRECT,DiscoveryChannelMiddleEastAfrica.us@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,25
osn.com,9085,DMC.eg@SD,DMC HD,DIRECT,DMC.eg@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,25
elcinema.com,1292,DMCDrama.eg@SD,دي إم سي دراما,DIRECT,DMCDrama.eg@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,100
osn.com,6603,DubaiTV.ae@SD,Dubai TV HD,DIRECT,DubaiTV.ae@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,25
elcinema.com,1315,EchoroukTV.dz@SD,الشروق الجزائرية,DIRECT,EchoroukTV.dz@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,100
elcinema.com,1308,ElWatania1.tn@SD,الوطنية 1,DIRECT,ElWatania1.tn@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,100
elcinema.com,1334,ElWatania2.tn@SD,الوطنية 2,DIRECT,ElWatania2.tn@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,100
shahid.mbc.net,49923172215352,Fairuz.sa@HD,فيروز,DIRECT,Fairuz.sa@HD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,10
elcinema.com,1302,FujairahTV.ae@SD,الفجيرة,DIRECT,FujairahTV.ae@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,100
osn.com,6606,Gametoon.nl@SD,Gametoon,DIRECT,Gametoon.nl@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,25
osn.com,6604,GINXTV.uk@SD,Ginx,DIRECT,GINXTV.uk@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,25
elcinema.com,1374,HadhramautTV.ye@SD,تلفزيون حضرموت,DIRECT,HadhramautTV.ye@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,100
osn.com,5667,History2MiddleEast.us@SD,H2 HD,DIRECT,History2MiddleEast.us@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,25
osn.com,5661,HistoryMiddleEast.us@SD,History HD,DIRECT,HistoryMiddleEast.us@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,25
i24news.tv,ar,i24NEWSArabic.il@SD,I24NEWS عربى,DIRECT,i24NEWSArabic.il@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,500
elcinema.com,1204,iFilmArabic.ir@SD,آي فيلم,DIRECT,iFilmArabic.ir@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,100
osn.com,5668,InvestigationDiscovery.uk@SD,Discovery IDX HD,DIRECT,InvestigationDiscovery.uk@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,25
elcinema.com,1314,JordanTV.jo@SD,الأردن,DIRECT,JordanTV.jo@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,100
osn.com,9961,KSASports1.sa@SD,KSA Sports 1 HD,DIRECT,KSASports1.sa@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,25
rotana.net,434,LBC.sa@SD,إل بي سي,DIRECT,LBC.sa@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,11
elcinema.com,1168,LBCInternational.lb@SD,إل بي سي آي,DIRECT,LBCInternational.lb@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,100
freetv.tv,3371021,Makan33.il@SD,مكان,DIRECT,Makan33.il@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,500
shahid.mbc.net,988045,Maraya.sa@HD,قناة مرايا,DIRECT,Maraya.sa@HD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,10
elcinema.com,1401,Masah.sa@SD,ماسة,DIRECT,Masah.sa@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,100
elcinema.com,1336,MasperoZaman.eg@SD,ماسبيرو زمان,DIRECT,MasperoZaman.eg@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,100
shahid.mbc.net,387238,MBC1.ae@SD,MBC1,DIRECT,MBC1.ae@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,shahid.mbc.net,10
shahid.mbc.net,400917,MBC2.ae@SD,MBC2,DIRECT,MBC2.ae@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,shahid.mbc.net,10
osn.com,9971,MBC3.ae@SD,MBC 3,DIRECT,MBC3.ae@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,osn.com,25
shahid.mbc.net,400919,MBC4.ae@SD,MBC4,DIRECT,MBC4.ae@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,shahid.mbc.net,10
osn.com,9995,MBC5.ae@SD,MBC 5,DIRECT,MBC5.ae@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,osn.com,25
