AbuDhabiSports1.ae@SD|AD Sports 1 HD
AbuDhabiTV.ae@SD|Abu Dhabi TV HD
AlarabiyaPortrait.ae@SD|Al Arabiya
AlArabyTV.qa@SD|Al Araby TV
AlArabyTV2.qa@SD|Al Araby 2
AlHadath.sa@SD|Al Hadath
AlQuranAlKareemTV.sa@SD|Al Quran Al Kareem TV HD
AlraiTV.kw@SD|Al Rai TV
AnimalPlanetEurope.uk@SD|Animal Planet HD
BahrainTV.bh@SD|Bahrain TV
BBCArabic.uk@SD|BBC World
BloombergOriginals.us@SD|Bloomberg Originals
BloombergTV.us@MiddleEast|Bloomberg
CartoonNetworkArabic.ae@SD|CN Arabia
CartoonNetworkMENA.uk@SD|Cartoon Network HD
CNNInternational.us@MENA|CNN HD
CrimePlusInvestigation.us@SD|C & I
DiscoveryChannelMiddleEastAfrica.us@SD|Discovery Channel HD
DMC.eg@SD|DMC HD
DubaiTV.ae@SD|Dubai TV HD
Fatafeat.ae@SD|Fatafeat
Gametoon.nl@SD|Gametoon
GINXTV.uk@SD|Ginx
History2MiddleEast.us@SD|H2 HD
HistoryMiddleEast.us@SD|History HD
InvestigationDiscovery.uk@SD|Discovery IDX HD
KSASports1.sa@SD|KSA Sports 1 HD
MBC1.ae@SD|MBC 1
MBC3.ae@SD|MBC 3
MBC5.ae@SD|MBC 5
MBCDrama.ae@SD|MBC Drama
MBCIraq.iq@SD|MBC Iraq
MBCMasr.eg@SD|MBC Masr
MBCMasr2.eg@SD|MBC Masr2
MBCMood.sa@HD|MBC Mood
MBCPlusDrama.sa@SD|MBC+ Drama
MCMTop.fr@SD|MCM TOP
MoonbugKids.uk@SD|Moonbug Kids
MotorvisionPlus.de@SD|MOTORVISION
NickelodeonArabia.ae@SD|Nickelodeon HD
NickJrArabia.ae@SD|Nick Jr HD
NicktoonsArabia.ae@SD|NickToons HD
OmanTV.om@SD|Oman TV
OSNComedy.ae@SD|OSNtv Comedy
OSNKids.ae@SD|OSNtv Kids
OSNMezze.ae@SD|OSNtv Mezze
OSNMoviesAction.ae@SD|OSNtv Movies Action
OSNMoviesHollywood.ae@SD|OSNtv Movies Hollywood
OSNMoviesPremiere.ae@SD|OSNtv Movies Premiere
OSNShowcase.ae@SD|OSNtv Showcase
OSNYahala.ae@SD|OSNtv Yahala
OSNYahalaAflam.ae@SD|OSNtv Yahala Aflam
OSNYahalaBilArabi.ae@SD|OSNtv Yahala Bil Arabi
RFMTV.fr@SD|RFM TV
RoyaTV.jo@SD|Roya TV HD
RT.ru@SD|RT English
RTArabic.ru@SD|RT Arabic
SkyNewsArabia.ae@SD|Sky News Arabia HD
TLCArabia.us@SD|TLC HD
