shard,id,name,verdict,score,auto_lock,events,coverage_h,span_h,gaps_gt_2h,empty_desc,title_ar_pct,title_latin_pct,desc_ar_pct,feed_country,issues,warnings,preview_1,preview_2
provider-alkass,2023 Alkass 2.qa,2023 Alkass 2.qa,REVIEW,84,0,15,15.23,15.23,0,0,0.0,100.0,100.0,qa,,STALE_YEAR_IN_ID; ARABIC_PROVIDER_TITLE_AR_LOW=0%,Ostudio Al Khayl,King of the Court Beach Volleyball Championship
provider-alkass,2023 Alkass 3.qa,2023 Alkass 3.qa,REVIEW,84,0,16,19.48,20.0,0,0,0.0,100.0,100.0,qa,,STALE_YEAR_IN_ID; ARABIC_PROVIDER_TITLE_AR_LOW=0%,Botoulat Asia Lel Shabab Lekorat Al Yad,Dawry Nojom Qatar
provider-alkass,2023 Alkass 4.qa,2023 Alkass 4.qa,REVIEW,76,0,10,14.98,14.98,0,0,0.0,100.0,100.0,qa,,LONG_GT_6H=1; STALE_YEAR_IN_ID; ARABIC_PROVIDER_TITLE_AR_LOW=0%,Dawry Al Darajah Al Thanya Al Qatary,FIBA World Basketball
provider-alkass,2023 Alkass 5.qa,2023 Alkass 5.qa,REVIEW,84,0,15,15.23,15.23,0,0,0.0,100.0,100.0,qa,,STALE_YEAR_IN_ID; ARABIC_PROVIDER_TITLE_AR_LOW=0%,HORSE RACE STUDIO,King of the Court Volleyball Championship
provider-alkass,2023 Alkass 6.qa,2023 Alkass 6.qa,REVIEW,92,0,40,42.47,43.5,0,0,100.0,0.0,100.0,qa,,STALE_YEAR_IN_ID,المجلس,الحصيلة
provider-alkass,2023 Alkass 7.qa,2023 Alkass 7.qa,REVIEW,92,0,43,45.22,46.25,0,0,100.0,0.0,100.0,qa,,STALE_YEAR_IN_ID,معرض كتارا الدولي للصيد والصقور سهيل,أخبار
provider-alkass,2023 Alkass 8.qa,2023 Alkass 8.qa,REVIEW,92,0,32,41.97,43.0,0,0,100.0,0.0,100.0,qa,,STALE_YEAR_IN_ID,سبورت كونفدينشيال,دوري نجوم قطر
provider-alkass,Al Kass One.sa,Al Kass One.sa,REVIEW,92,0,19,19.5,47.0,1,0,100.0,0.0,100.0,sa,,GAPS_GT_2H=1/TOTAL=27.5h,جرايد,بطولة آسيا للشباب لكرة ...
provider-alkass,AlkassFive.qa@SD,Alkass Five,PASS,100,1,10,11.0,11.0,0,0,100.0,0.0,100.0,qa,,,جرايد,تواصل
provider-bein,4k_DIGITAL_Mono_AR.bein,4k_DIGITAL_Mono_AR,REVIEW,92,0,18,34.98,34.98,0,0,77.8,100.0,100.0,,,DUPLICATE_TIMELINE_GROUP=2; DUPLICATE_TIMELINE_UNRELATED,Live : rpool v Fulham - الدوري الإنجليزي الممتاز,Sunderland v Arsenal - الدوري الإنجليزي الممتاز
